distance,42 days,This season
45.719997,9,5
50.0,10,6
68.58,13,12
75.0,15,14
91.439995,18,17
100.0,20,18
114.299995,23,22
125.0,25,23
137.16,27,26
150.0,30,28
182.87999,38,36
200.0,42,39
228.59999,48,45
250.0,53,50
274.32,59,56
300.0,64,64
320.04,69,69
350.0,75,75
365.75998,79,79
400.0,87,87
402.335,87,87
411.47998,89,89
450.0,98,98
457.19998,100,100
500.0,109,109
502.91998,110,110
548.64,120,120
550.0,121,121
594.36,131,131
600.0,132,132
640.08,141,141
650.0,143,143
685.8,152,152
700.0,155,155
731.51996,163,163
750.0,167,167
800.0,178,178
804.67,180,180
822.95996,184,184
900.0,202,202
914.39996,205,205
1000.0,226,226
1005.83997,228,228
1097.28,274,274
1100.0,275,275
1188.72,297,297
1200.0,300,300
1280.16,320,320
1300.0,325,325
1371.6,343,343
1400.0,350,350
1463.0399,366,366
1500.0,376,376
1554.48,390,390
1600.0,402,402
1609.34,404,404
1645.9199,414,414
1700.0,427,427
1737.36,437,437
1800.0,454,454
1828.7999,461,461
1900.0,479,479
2000.0,505,505
2200.0,557,557
2400.0,610,610
2600.0,664,664
2800.0,739,739
3000.0,796,796
3200.0,847,847
3218.68,852,852
3400.0,899,899
3600.0,952,952
3800.0,1006,1006
4000.0,1060,1060
4400.0,1251,1251
4800.0,1361,1361
4828.02,1369,1369
5000.0,1419,1419
5200.0,1547,1547
5600.0,1702,1702
6000.0,1851,1851
6400.0,2110,2110
6437.36,2122,2122
7000.0,2293,2293
8000.0,2604,2604
8046.6997,2619,2619
9000.0,2932,2932
9656.04,3198,3198
10000.0,3400,3400
11000.0,3954,3954
11265.38,4041,4041
12000.0,4348,4348
12874.72,4665,4665
13000.0,4710,4710
14000.0,5190,5190
